Id	LotFrontage	LotArea	Street	Neighborhood	YearBuilt	YearRemodAdd	CentralAir	PavedDrive	SaleCondition	SalePrice
1000	64	6762	Pave	CollgCr	2006	2006	Y	Y	Normal	206000
1001	74	10206	Pave	Edwards	1952	1952	N	Y	Normal	82000
1002	60	5400	Pave	OldTown	1920	1950	Y	N	Abnorml	86000
1003	75	11957	Pave	Somerst	2006	2006	Y	Y	Normal	232000
1004	NA	11500	Pave	NWAmes	1976	1976	Y	Y	Normal	136905
1005	43	3182	Pave	Blmngtn	2005	2006	Y	Y	Normal	181000
1006	65	8385	Pave	CollgCr	1977	1977	Y	Y	Normal	149900
1007	NA	12155	Pave	NAmes	1970	1970	Y	Y	Normal	163500
1008	21	2217	Pave	MeadowV	1970	1970	Y	Y	Normal	88000
1009	43	12118	Pave	Mitchel	2004	2005	Y	Y	Normal	240000
1010	60	6000	Pave	SWISU	1926	1950	Y	P	Normal	102000
1011	115	21286	Pave	Sawyer	1948	1950	Y	Y	Normal	135000
1012	75	9825	Pave	Edwards	1965	1965	N	Y	Normal	100000
1013	55	10592	Pave	Crawfor	1923	1996	Y	Y	Normal	165000
1014	60	7200	Pave	OldTown	1910	2006	N	Y	Normal	85000
1015	60	11664	Pave	NAmes	1948	1950	Y	Y	Normal	119200
1016	70	8400	Pave	NWAmes	2001	2001	Y	Y	Normal	227000
1017	73	11883	Pave	CollgCr	1996	1996	Y	Y	Normal	203000
1018	NA	5814	Pave	StoneBr	1984	1984	Y	Y	Abnorml	187500
1019	NA	10784	Pave	Gilbert	1991	1992	Y	Y	Normal	160000
1020	43	3013	Pave	Blmngtn	2005	2005	Y	Y	Normal	213490
1021	60	7024	Pave	Edwards	2005	2005	Y	Y	Normal	176000
1022	64	7406	Pave	CollgCr	2006	2006	Y	Y	Partial	194000
1023	52	9439	Pave	OldTown	1930	1950	Y	Y	Normal	87000
1024	43	3182	Pave	Blmngtn	2005	2006	Y	Y	Normal	191000
1025	NA	15498	Pave	Timber	1976	1976	Y	Y	Abnorml	287000
1026	70	7700	Pave	CollgCr	1972	1972	Y	Y	Normal	112500
1027	73	9300	Pave	NAmes	1960	1960	Y	Y	Normal	167500
1028	71	9520	Pave	Timber	2007	2008	Y	Y	Partial	293077
1029	79	9492	Pave	NAmes	1941	1950	Y	Y	Normal	105000
1030	21	1680	Pave	BrDale	1972	1972	Y	Y	Normal	118000
1031	NA	7082	Pave	SWISU	1916	1995	Y	N	Normal	160000
1032	102	15863	Pave	SWISU	1920	1970	Y	Y	Normal	197000
1033	NA	14541	Pave	NoRidge	1993	1993	Y	Y	Abnorml	310000
1034	NA	8125	Pave	CollgCr	2002	2002	Y	Y	Normal	230000
1035	50	6305	Pave	Crawfor	1938	1950	Y	Y	Normal	119750
1036	NA	11500	Pave	Edwards	1957	1957	N	N	Normal	84000
1037	89	12898	Pave	Timber	2007	2008	Y	Y	Normal	315500
1038	NA	9240	Pave	CollgCr	2001	2002	Y	Y	Normal	287000
1039	21	1533	Pave	MeadowV	1970	2008	Y	Y	Normal	97000
1040	21	1477	Pave	MeadowV	1970	1970	Y	Y	Normal	80000
1041	88	13125	Pave	Sawyer	1957	2000	Y	Y	Normal	155000
1042	NA	9130	Pave	NWAmes	1966	2000	Y	Y	Normal	173000
1043	34	5381	Pave	NridgHt	2005	2005	Y	Y	Normal	196000
1044	86	11839	Pave	SawyerW	1990	1990	Y	Y	Normal	262280
1045	80	9600	Pave	NWAmes	1981	1981	Y	Y	Normal	278000
1046	NA	13680	Pave	Edwards	1955	1955	Y	Y	Normal	139600
1047	85	16056	Pave	StoneBr	2005	2006	Y	Y	Partial	556581
1048	57	9245	Pave	CollgCr	1994	1995	Y	Y	Normal	145000
1049	100	21750	Pave	Mitchel	1960	2006	Y	Y	Normal	115000
1050	60	11100	Pave	Edwards	1946	2006	Y	Y	Abnorml	84900
1051	73	8993	Pave	Gilbert	2007	2007	Y	Y	Partial	176485
1052	103	11175	Pave	CollgCr	2007	2007	Y	Y	Partial	200141
1053	100	9500	Pave	NAmes	1964	1978	Y	Y	Normal	165000
1054	68	8562	Pave	Edwards	1957	2002	Y	Y	Normal	144500
1055	90	11367	Pave	CollgCr	2002	2002	Y	Y	Normal	255000
1056	104	11361	Pave	NWAmes	1976	1976	Y	Y	Abnorml	180000
1057	43	7052	Pave	NridgHt	2005	2005	Y	Y	Normal	185850
1058	NA	29959	Pave	NoRidge	1994	1994	Y	Y	Normal	248000
1059	96	11308	Pave	NridgHt	2008	2008	Y	Y	Normal	335000
1060	NA	11275	Pave	Crawfor	1932	1950	Y	Y	Normal	220000
1061	41	4920	Pave	StoneBr	2001	2001	Y	Y	Normal	213500
1062	120	18000	Grvl	IDOTRR	1935	1950	Y	Y	Normal	81000
1063	85	13600	Pave	OldTown	1900	1950	N	Y	Normal	90000
1064	50	6000	Pave	OldTown	1925	1980	Y	Y	Normal	110500
1065	NA	11000	Pave	NAmes	1966	1966	Y	Y	Normal	154000
1066	80	14000	Pave	ClearCr	1996	1997	Y	Y	Normal	328000
1067	59	7837	Pave	Gilbert	1993	1994	Y	Y	Normal	178000
1068	80	9760	Pave	NAmes	1964	1964	Y	Y	Normal	167900
1069	42	3964	Pave	MeadowV	1973	1973	Y	Y	Normal	151400
1070	60	9600	Pave	NAmes	1949	2003	Y	Y	Normal	135000
1071	72	10152	Pave	NAmes	1956	1956	Y	Y	Normal	135000
1072	78	11700	Pave	NWAmes	1968	1968	Y	Y	Normal	154000
1073	50	7585	Pave	Edwards	1948	1950	Y	P	Normal	91500
1074	75	7950	Pave	Edwards	1977	1977	Y	Y	Normal	159500
1075	74	8556	Pave	CollgCr	2006	2006	Y	Y	Normal	194000
1076	75	13125	Pave	Crawfor	1940	1984	Y	Y	Normal	219500
1077	60	10800	Pave	OldTown	1936	1989	Y	Y	Normal	170000
1078	NA	15870	Pave	NAmes	1969	1969	Y	Y	Abnorml	138800
1079	37	4435	Pave	CollgCr	2004	2004	Y	Y	Normal	155900
1080	65	8775	Pave	CollgCr	1994	1994	Y	Y	Normal	126000
1081	80	11040	Pave	NWAmes	1971	2004	Y	Y	Abnorml	145000
1082	75	7500	Pave	Sawyer	1963	1963	Y	Y	Normal	133000
1083	70	8749	Pave	CollgCr	2002	2002	Y	Y	Normal	192000
1084	80	8800	Pave	NAmes	1964	1964	Y	Y	Normal	160000
1085	NA	13031	Pave	Gilbert	1995	1996	Y	Y	Normal	187500
1086	73	9069	Pave	SawyerW	1992	1992	Y	Y	Normal	147000
1087	NA	1974	Pave	MeadowV	1973	1973	Y	Y	Normal	83500
1088	85	10574	Pave	Somerst	2005	2006	Y	Y	Normal	252000
1089	24	2522	Pave	Edwards	2004	2004	Y	Y	Normal	137500
1090	37	3316	Pave	Somerst	2005	2005	Y	Y	Normal	197000
1091	60	8544	Pave	NAmes	1950	1950	N	Y	Normal	92900
1092	24	2160	Pave	Somerst	1999	2000	Y	Y	Normal	160000
1093	60	8400	Pave	SWISU	1925	1950	Y	Y	Normal	136500
1094	71	9230	Pave	NAmes	1965	1998	Y	Y	Normal	146000
1095	74	5868	Pave	NAmes	1956	2000	Y	Y	Normal	129000
1096	78	9317	Pave	CollgCr	2006	2006	Y	Y	Normal	176432
1097	60	6882	Pave	IDOTRR	1914	2006	Y	Y	Normal	127000
1098	NA	3696	Pave	StoneBr	1986	1986	Y	Y	Normal	170000
1099	50	6000	Pave	BrkSide	1936	1950	Y	Y	Normal	128000
1100	82	11880	Pave	NWAmes	1978	1978	Y	Y	Abnorml	157000
1101	60	8400	Pave	SWISU	1920	1950	N	N	Normal	60000
1102	61	9758	Pave	NAmes	1971	1971	Y	Y	Normal	119500
1103	70	7000	Pave	NAmes	1960	2002	Y	Y	Family	135000
1104	79	8910	Pave	NAmes	1959	1959	Y	Y	Normal	159500
1105	24	2016	Pave	BrDale	1970	1970	Y	Y	Normal	106000
1106	98	12256	Pave	NoRidge	1994	1995	Y	Y	Normal	325000
1107	114	10357	Pave	SawyerW	1990	1991	Y	Y	Normal	179900
1108	168	23257	Pave	Gilbert	2006	2006	Y	Y	Partial	274725
1109	NA	8063	Pave	Gilbert	2000	2000	Y	Y	Abnorml	181000
1110	107	11362	Pave	NridgHt	2004	2005	Y	Y	Normal	280000
1111	NA	8000	Pave	Gilbert	1995	1996	Y	Y	Normal	188000
1112	80	10480	Pave	NWAmes	1976	1976	Y	Y	Normal	205000
1113	73	7100	Pave	NAmes	1957	1957	Y	Y	Normal	129900
1114	66	8923	Pave	NAmes	1953	2006	Y	Y	Normal	134500
1115	90	5400	Pave	OldTown	1954	2000	Y	Y	Normal	117000
1116	93	12085	Pave	NridgHt	2007	2007	Y	Y	Partial	318000
1117	NA	7750	Pave	Gilbert	2002	2002	Y	Y	Normal	184100
1118	57	9764	Pave	Sawyer	1967	2003	Y	Y	Normal	130000
1119	85	13825	Pave	Sawyer	1958	1987	Y	Y	Normal	140000
1120	70	7560	Pave	NAmes	1959	1959	Y	Y	Normal	133700
1121	59	8263	Pave	IDOTRR	1920	1950	Y	Y	Normal	118400
1122	84	10084	Pave	CollgCr	2005	2006	Y	Y	Partial	212900
1123	NA	8926	Pave	Edwards	1956	1956	Y	Y	Abnorml	112000
1124	50	9405	Pave	Edwards	1947	2008	Y	Y	Normal	118000
1125	NA	9125	Pave	Gilbert	1992	1992	Y	Y	Normal	163900
1126	60	10434	Pave	NAmes	1955	1955	Y	Y	Normal	115000
1127	53	3684	Pave	Blmngtn	2007	2007	Y	Y	Normal	174000
1128	182	14572	Pave	Gilbert	2004	2004	Y	Y	Family	259000
1129	59	11796	Pave	Gilbert	2004	2005	Y	Y	Normal	215000
1130	60	7200	Pave	OldTown	1980	1980	Y	Y	Normal	140000
1131	65	7804	Pave	SWISU	1928	1950	Y	Y	Normal	135000
1132	63	10712	Pave	Mitchel	1991	1992	Y	Y	Abnorml	93500
1133	90	9900	Pave	OldTown	1880	1950	Y	N	Normal	117500
1134	80	9828	Pave	SawyerW	1995	1995	Y	Y	Normal	239500
1135	57	8773	Pave	Gilbert	1997	1997	Y	Y	Normal	169000
1136	60	6180	Pave	BrkSide	1926	1950	N	Y	Normal	102000
1137	80	9600	Pave	NAmes	1950	1950	Y	Y	Abnorml	119000
1138	54	6342	Pave	Sawyer	1875	1996	N	N	Normal	94000
1139	NA	9819	Pave	Mitchel	1977	1977	Y	Y	Normal	196000
1140	98	8731	Pave	BrkSide	1920	1950	Y	Y	Normal	144000
1141	60	7350	Pave	NAmes	1951	1951	Y	Y	Abnorml	139000
1142	NA	10304	Pave	NWAmes	1976	1976	Y	Y	Normal	197500
1143	77	9965	Pave	CollgCr	2006	2007	Y	Y	Partial	424870
1144	NA	9000	Pave	Sawyer	1959	1959	Y	Y	Normal	80000
1145	60	12180	Pave	Edwards	1941	1950	N	Y	Normal	80000
1146	52	6240	Pave	BrkSide	1928	1950	Y	Y	Family	149000
1147	NA	11200	Pave	SawyerW	1985	1985	Y	Y	Normal	180000
1148	75	12000	Pave	Crawfor	1941	1950	Y	Y	Normal	174500
1149	NA	5700	Pave	OldTown	1926	1950	Y	Y	Normal	116900
1150	50	9000	Pave	OldTown	1920	1988	Y	Y	Normal	143000
1151	57	8280	Pave	NAmes	1950	1950	Y	Y	Normal	124000
1152	134	17755	Pave	Edwards	1959	1959	Y	Y	Normal	149900
1153	90	14115	Pave	Crawfor	1956	2004	Y	Y	Abnorml	230000
1154	NA	5890	Pave	IDOTRR	1930	2007	Y	Y	Normal	120500
1155	NA	13700	Pave	NAmes	1965	1988	Y	Y	Normal	201800
1156	90	10768	Pave	Veenker	1976	2004	Y	Y	Normal	218000
1157	85	9350	Pave	NAmes	1965	1999	Y	Y	Normal	179900
1158	34	5001	Pave	NridgHt	2007	2008	Y	Y	Normal	230000
1159	92	11932	Pave	Somerst	2007	2008	Y	Y	Partial	235128
1160	76	9120	Pave	NWAmes	1974	1974	Y	Y	Normal	185000
1161	24	2280	Pave	NPkVill	1978	1978	Y	Y	Normal	146000
1162	NA	14778	Pave	Crawfor	1954	2006	Y	Y	Normal	224000
1163	109	8724	Pave	Sawyer	1968	1968	Y	Y	Normal	129000
1164	60	12900	Pave	Sawyer	1969	1969	Y	Y	Alloca	108959
1165	NA	16157	Pave	Veenker	1978	1978	Y	Y	Normal	194000
1166	79	9541	Pave	NridgHt	2009	2009	Y	Y	Partial	233170
1167	64	10475	Pave	CollgCr	2008	2008	Y	Y	Normal	245350
1168	58	10852	Pave	Gilbert	2000	2000	Y	Y	Normal	173000
1169	120	13728	Pave	Edwards	1935	1986	Y	Y	Normal	235000
1170	118	35760	Pave	NoRidge	1995	1996	Y	Y	Normal	625000
1171	76	9880	Pave	Mitchel	1977	1977	Y	Y	Normal	171000
1172	76	9120	Pave	NAmes	1958	1958	Y	Y	Normal	163000
1173	35	4017	Pave	Somerst	2006	2007	Y	Y	Normal	171900
1174	138	18030	Pave	ClearCr	1946	1994	Y	Y	Normal	200500
1175	80	16560	Pave	Crawfor	1932	1950	Y	Y	Normal	239000
1176	85	10678	Pave	NoRidge	1992	2000	Y	Y	Normal	285000
1177	37	6951	Pave	Mitchel	1984	1985	Y	Y	Normal	119500
1178	NA	3950	Pave	OldTown	1926	2004	Y	N	Normal	115000
1179	54	7681	Pave	Crawfor	1921	1950	Y	Y	Normal	154900
1180	77	8335	Pave	Edwards	1954	1954	Y	N	Normal	93000
1181	NA	11170	Pave	Timber	1990	1991	Y	Y	Normal	250000
1182	64	5587	Pave	Crawfor	2008	2008	Y	Y	Partial	392500
1183	160	15623	Pave	NoRidge	1996	1996	Y	Y	Abnorml	745000
1184	60	10800	Pave	OldTown	1920	1950	Y	Y	Normal	120000
1185	50	35133	Grvl	Timber	1963	1963	Y	Y	Normal	186700
1186	60	9738	Pave	Edwards	1924	1950	Y	Y	Normal	104900
1187	107	10615	Pave	OldTown	1900	1970	Y	Y	Abnorml	95000
1188	89	12461	Pave	NoRidge	1994	1995	Y	Y	Normal	262000
1189	68	8935	Pave	CollgCr	2002	2002	Y	Y	Normal	195000
1190	60	7500	Pave	Gilbert	1999	1999	Y	Y	Normal	189000
1191	NA	32463	Pave	Mitchel	1961	1975	Y	Y	Normal	168000
1192	24	2645	Pave	Somerst	1999	2000	Y	Y	Normal	174000
1193	60	9600	Pave	OldTown	1925	1994	Y	P	Normal	125000
1194	NA	4500	Pave	Mitchel	1999	1999	Y	Y	Normal	165000
1195	80	9364	Pave	Sawyer	1969	1969	Y	Y	Normal	158000
1196	51	8029	Pave	Gilbert	2005	2005	Y	Y	Normal	176000
1197	58	14054	Pave	Gilbert	2006	2006	Y	Y	Partial	219210
1198	65	8850	Pave	OldTown	1916	1950	Y	Y	Normal	144000
1199	70	9100	Pave	CollgCr	2001	2001	Y	Y	Normal	178000
1200	75	11235	Pave	Sawyer	1963	1979	Y	Y	Normal	148000
1201	71	9353	Pave	NAmes	1970	1970	Y	Y	Abnorml	116050
1202	80	10400	Pave	CollgCr	1998	1998	Y	Y	Normal	197900
1203	50	6000	Pave	BrkSide	1925	1997	Y	N	Normal	117000
1204	75	9750	Pave	CollgCr	2000	2001	Y	Y	Normal	213000
1205	78	10140	Pave	NWAmes	1975	1975	Y	Y	Normal	153500
1206	90	14684	Pave	SawyerW	1990	1991	Y	Y	Normal	271900
1207	NA	8900	Pave	SawyerW	1966	1966	Y	Y	Normal	107000
1208	70	9135	Pave	CollgCr	2003	2003	Y	Y	Normal	200000
1209	70	7763	Pave	NAmes	1962	1980	Y	Y	Normal	140000
1210	85	10182	Pave	Somerst	2006	2006	Y	Y	Partial	290000
1211	70	11218	Pave	SawyerW	1992	1992	Y	Y	Normal	189000
1212	152	12134	Pave	Gilbert	1988	2005	Y	Y	Normal	164000
1213	50	9340	Pave	Edwards	1941	1950	Y	N	Normal	113000
1214	NA	10246	Pave	Sawyer	1965	2001	Y	Y	Normal	145000
1215	69	10205	Pave	NAmes	1962	1962	Y	Y	Normal	134500
1216	99	7094	Pave	Sawyer	1966	1966	Y	Y	Normal	125000
1217	68	8930	Pave	Sawyer	1978	1978	Y	Y	Normal	112000
1218	72	8640	Pave	Somerst	2009	2009	Y	Y	Partial	229456
1219	52	6240	Pave	BrkSide	1947	1950	N	N	Normal	80500
1220	21	1680	Pave	BrDale	1971	1971	Y	N	Abnorml	91500
1221	66	7800	Pave	NAmes	1964	1964	Y	Y	Abnorml	115000
1222	55	8250	Pave	Sawyer	1968	1968	Y	Y	Normal	134000
1223	78	10496	Pave	NAmes	1949	1950	Y	Y	Normal	143000
1224	89	10680	Pave	NAmes	1951	1951	N	Y	Normal	137900
1225	60	15384	Pave	Gilbert	2004	2005	Y	Y	Normal	184000
1226	65	10482	Pave	NAmes	1958	1958	Y	Y	Normal	145000
1227	86	14598	Pave	Somerst	2007	2007	Y	Y	Normal	214000
1228	72	8872	Pave	NAmes	1965	2008	Y	Y	Normal	147000
