Year,What is your level of English?,What is your level of programming experience?,What is your level of Python programming experience?,What is your level of machine learning (/deep learning) experience?,What is your attitude towards mathematics?
2020,Proficient,Programming is (part of) my job,I played a little bit with it,I did some ML/DL assignments in school/university,I like it
2020,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2020,Proficient,I did programming assignments in school/university,None,I have some theoretical knowledge,I love it!
2020,Fluent,I did programming assignments in school/university,I did/do small Python programming projects on my own,I have some theoretical knowledge,Neutral
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,I hate it!
2020,Proficient,I did programming assignments in school/university,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2020,Intermediate,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Proficient,Programming is (part of) my job,I played a little bit with it,I played a little bit with it,Neutral
2020,Proficient,Programming is (part of) my job,I use Python in my job,I played a little bit with it,I like it
2020,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2020,Proficient,Programming is (part of) my job,I use Python in my job,I played a little bit with it,I like it
2020,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,I love it!
2020,Proficient,Programming is (part of) my job,I use Python in my job,I played a little bit with it,I love it!
2020,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I hate it!
2020,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I played a little bit with it,I dislike it
2020,Fluent,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2020,Fluent,I played a little bit with it,I did/do small Python programming projects on my own,I played a little bit with it,I like it
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I played a little bit with it,Neutral
2020,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I dislike it
2020,Fluent,I did programming assignments in school/university,None,I have some theoretical knowledge,I like it
2020,Native,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I love it!
2020,Proficient,I did programming assignments in school/university,I did/do small Python programming projects on my own,I played a little bit with it,I love it!
2020,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2020,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I dislike it
2020,Proficient,I did programming assignments in school/university,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Proficient,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I like it
2020,Fluent,Programming is (part of) my job,None,I have some theoretical knowledge,I love it!
2020,Proficient,I did/do programming projects on my own,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2020,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2020,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2020,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2020,Proficient,I did programming assignments in school/university,I played a little bit with it,I don't know what it is,I like it
2020,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I dislike it
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2020,Fluent,I did programming assignments in school/university,I played a little bit with it,I have some theoretical knowledge,I love it!
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Fluent,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I love it!
2020,Intermediate,Programming is (part of) my job,None,I have some theoretical knowledge,I like it
2020,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I played a little bit with it,I like it
2020,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2020,Fluent,Programming is (part of) my job,I played a little bit with it,I played a little bit with it,I like it
2020,Proficient,I did/do programming projects on my own,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2020,Proficient,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2020,Fluent,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Intermediate,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2020,Proficient,None,None,I don't know what it is,I like it
2020,Intermediate,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,I like it
2020,Native,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2020,Fluent,I did programming assignments in school/university,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I played a little bit with it,I love it!
2020,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2020,Intermediate,I did programming assignments in school/university,None,I don't know what it is,Neutral
2020,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I have some theoretical knowledge,I love it!
2021,Fluent,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,Neutral
2021,Fluent,None,None,I have some theoretical knowledge,Neutral
2021,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2021,Native,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2021,Proficient,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2021,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2021,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I played a little bit with it,I love it!
2021,Proficient,I did programming assignments in school/university,None,I have some theoretical knowledge,Neutral
2021,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2021,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I love it!
2021,Intermediate,I did programming assignments in school/university,None,I don't know what it is,I like it
2021,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2021,Proficient,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2021,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I dislike it
2021,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I have some theoretical knowledge,I love it!
2021,Proficient,I played a little bit with it,I played a little bit with it,I have some theoretical knowledge,Neutral
2021,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I like it
2021,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I have some theoretical knowledge,I dislike it
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,Neutral
2021,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,I like it
2021,Proficient,I did programming assignments in school/university,I did/do small Python programming projects on my own,I have some theoretical knowledge,I like it
2021,Intermediate,Programming is (part of) my job,None,I don't know what it is,Neutral
2021,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I have some theoretical knowledge,I like it
2021,Intermediate,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2021,Intermediate,I played a little bit with it,I played a little bit with it,I don't know what it is,Neutral
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,I like it
2021,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I love it!
2021,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I dislike it
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I played a little bit with it,I dislike it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2021,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2021,Proficient,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,Neutral
2021,Proficient,I played a little bit with it,None,I have some theoretical knowledge,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2021,Fluent,Programming is (part of) my job,I played a little bit with it,I did some ML/DL assignments in school/university,I like it
2021,Proficient,I did programming assignments in school/university,None,I have some theoretical knowledge,I like it
2021,Proficient,I did/do programming projects on my own,None,I have some theoretical knowledge,I like it
2021,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2021,Proficient,Programming is (part of) my job,I played a little bit with it,I did some ML/DL assignments in school/university,I love it!
2021,Proficient,I did programming assignments in school/university,None,I don't know what it is,I like it
2021,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2021,Fluent,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I like it
2021,Proficient,I did/do programming projects on my own,I did Python programming assignments in school/university,I did/do ML/DL projects on my own,I love it!
2021,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2021,Intermediate,I did/do programming projects on my own,I did/do small Python programming projects on my own,I played a little bit with it,I like it
2021,Proficient,Programming is (part of) my job,None,I have some theoretical knowledge,Neutral
2021,Proficient,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I like it
2021,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I played a little bit with it,I love it!
2021,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,I like it
2021,Proficient,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2021,Proficient,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,Neutral
2021,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I have some theoretical knowledge,I love it!
2021,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I like it
2022,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2022,Fluent,Programming is (part of) my job,I use Python in my job,I played a little bit with it,I dislike it
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2022,Fluent,Programming is (part of) my job,I use Python in my job,I have some theoretical knowledge,I like it
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2022,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2022,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I love it!
2022,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,I like it
2022,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,Neutral
2022,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2022,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I use Python in my job,I played a little bit with it,Neutral
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I played a little bit with it,I dislike it
2022,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I played a little bit with it,I like it
2022,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I like it
2022,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I dislike it
2022,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2022,Fluent,Programming is (part of) my job,I use Python in my job,I played a little bit with it,Neutral
2022,Proficient,Programming is (part of) my job,None,I have some theoretical knowledge,Neutral
2022,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I dislike it
2022,Proficient,I played a little bit with it,I played a little bit with it,I have some theoretical knowledge,I like it
2022,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Proficient,I did programming assignments in school/university,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I love it!
2022,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2022,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2022,Fluent,I did programming assignments in school/university,I did Python programming assignments in school/university,I have some theoretical knowledge,I like it
2022,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I use Python in my job,I played a little bit with it,Neutral
2022,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2022,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,Neutral
2022,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I played a little bit with it,Neutral
2022,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2022,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,Neutral
2022,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2022,Proficient,Programming is (part of) my job,I use Python in my job,I have some theoretical knowledge,Neutral
2022,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I played a little bit with it,I like it
2022,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I like it
2022,Proficient,I did/do programming projects on my own,I did/do small Python programming projects on my own,I played a little bit with it,I like it
2022,Proficient,I did programming assignments in school/university,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2022,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2022,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I love it!
2023,Native,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2023,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I love it!
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I love it!
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2023,Proficient,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I love it!
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Beginner,I did programming assignments in school/university,I played a little bit with it,I don't know what it is,Neutral
2023,Intermediate,I did/do programming projects on my own,I did/do small Python programming projects on my own,I have some theoretical knowledge,I love it!
2023,Fluent,Programming is (part of) my job,I use Python in my job,I have some theoretical knowledge,Neutral
2023,Proficient,I did programming assignments in school/university,None,I did some ML/DL assignments in school/university,I like it
2023,Intermediate,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,I like it
2023,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I love it!
2023,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did/do ML/DL projects on my own,I love it!
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Intermediate,I did/do programming projects on my own,I played a little bit with it,I played a little bit with it,I like it
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2023,Proficient,Programming is (part of) my job,I played a little bit with it,I don't know what it is,I like it
2023,Beginner,I played a little bit with it,None,I did/do ML/DL projects on my own,I dislike it
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2023,Native,I played a little bit with it,I played a little bit with it,I don't know what it is,Neutral
2023,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,I dislike it
2023,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2023,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I love it!
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2023,Fluent,Programming is (part of) my job,I played a little bit with it,I played a little bit with it,Neutral
2023,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I have some theoretical knowledge,I like it
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,Neutral
2023,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did/do ML/DL projects on my own,I love it!
2023,Fluent,Programming is (part of) my job,I use Python in my job,I did/do ML/DL projects on my own,I like it
2023,Fluent,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,I love it!
2023,Intermediate,I did programming assignments in school/university,I did Python programming assignments in school/university,I don't know what it is,I like it
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2023,Fluent,Programming is (part of) my job,None,I did some ML/DL assignments in school/university,I love it!
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,I dislike it
2023,Proficient,Programming is (part of) my job,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2023,Intermediate,I did/do programming projects on my own,I did/do small Python programming projects on my own,I have some theoretical knowledge,Neutral
2023,Proficient,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,Neutral
2023,Native,I did programming assignments in school/university,I did Python programming assignments in school/university,I played a little bit with it,I love it!
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2023,Proficient,Programming is (part of) my job,I played a little bit with it,I have some theoretical knowledge,Neutral
2023,Native,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I like it
2023,Proficient,I did programming assignments in school/university,None,I have some theoretical knowledge,I like it
2023,Fluent,Programming is (part of) my job,I use Python in my job,I use ML/DL in my job,I like it
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2023,Fluent,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,I love it!
2023,Fluent,I did/do programming projects on my own,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
2023,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I love it!
2023,Proficient,I did/do programming projects on my own,I played a little bit with it,I have some theoretical knowledge,I like it
2023,Intermediate,Programming is (part of) my job,I did Python programming assignments in school/university,I have some theoretical knowledge,Neutral
2023,Fluent,I did/do programming projects on my own,I did/do small Python programming projects on my own,I did some ML/DL assignments in school/university,I like it
2023,Proficient,I did/do programming projects on my own,I did/do small Python programming projects on my own,I have some theoretical knowledge,Neutral
2023,Intermediate,I did programming assignments in school/university,I played a little bit with it,I played a little bit with it,Neutral
2023,Fluent,Programming is (part of) my job,I did/do small Python programming projects on my own,I have some theoretical knowledge,I like it
2023,Fluent,I did/do programming projects on my own,I played a little bit with it,I did some ML/DL assignments in school/university,I love it!
2023,Fluent,Programming is (part of) my job,I use Python in my job,I did some ML/DL assignments in school/university,I love it!
2023,Fluent,I did programming assignments in school/university,I played a little bit with it,I have some theoretical knowledge,Neutral
2023,Proficient,Programming is (part of) my job,I did Python programming assignments in school/university,I did some ML/DL assignments in school/university,Neutral
